MUNICÍPIO - TOM;UF
GUAJARÁ-MIRIM;RO
ALTO ALEGRE DOS PARECIS;RO
PORTO VELHO;RO
BURITIS;RO
JI-PARANÁ;RO
CHUPINGUAIA;RO
ARIQUEMES;RO
CUJUBIM;RO
CACOAL;RO
NOVA UNIÃO;RO
PIMENTA BUENO;RO
PARECIS;RO
VILHENA;RO
PIMENTEIRAS DO OESTE;RO
JARU;RO
PRIMAVERA DE RONDÔNIA;RO
OURO PRETO DO OESTE;RO
SÃO FELIPE D'OESTE;RO
PRESIDENTE MÉDICI;RO
SÃO FRANCISCO DO GUAPORÉ;RO
COSTA MARQUES;RO
TEIXEIRÓPOLIS;RO
COLORADO DO OESTE;RO
VALE DO ANARI;RO
ESPIGÃO D'OESTE;RO
AMAJARI;RR
CEREJEIRAS;RO
CANTÁ;RR
ROLIM DE MOURA;RO
CAROEBE;RR
CALDAZINHA;GO
IRACEMA;RR
ALTA FLORESTA D'OESTE;RO
PACARAIMA;RR
ALVORADA D'OESTE;RO
RORAINÓPOLIS;RR
CABIXI;RO
UIRAMUTÃ;RR
MACHADINHO D'OESTE;RO
ANAPU;PA
NOVA BRASILÂNDIA D'OESTE;RO
BANNACH;PA
SANTA LUZIA D'OESTE;RO
BELTERRA;PA
SÃO MIGUEL DO GUAPORÉ;RO
CACHOEIRA DO PIRIÁ;PA
Nova Mamoré;RO
CANAÃ DOS CARAJÁS;PA
JESÚPOLIS;GO
CURUÁ;PA
PROFESSOR JAMIL;GO
FLORESTA DO ARAGUAIA;PA
SANTO ANTÔNIO DE GOIÁS;GO
MARITUBA;PA
COCALZINHO DE GOIÁS;GO
NOVA IPIXUNA;PA
TEREZÓPOLIS DE GOIÁS;GO
PIÇARRA;PA
UIRAPURU;GO
PLACAS;PA
BURITINÓPOLIS;GO
QUATIPURU;PA
BURITI DE GOIÁS;GO
SÃO JOÃO DA PONTA;PA
GUARAÍTA;GO
SAPUCAIA;PA
VILA BOA;GO
TRACUATEUA;PA
INACIOLÂNDIA;GO
VITÓRIA DO JARI;AP
APARECIDA DO RIO DOCE;GO
AGUIARNÓPOLIS;TO
CHAPADÃO DO CÉU;GO
BANDEIRANTES DO TOCANTINS;TO
PEROLÂNDIA;GO
BARRA DO OURO;TO
CIDADE OCIDENTAL;GO
CHAPADA DE AREIA;TO
MONTIVIDIU DO NORTE;GO
CHAPADA DA NATIVIDADE;TO
CASTELÂNDIA;GO
CRIXÁS DO TOCANTINS;TO
SANTO ANTÔNIO DA BARRA;GO
IPUEIRAS;TO
ALTO HORIZONTE;GO
LAVANDEIRA;TO
NOVA IGUAÇU DE GOIÁS;GO
LUZINÓPOLIS;TO
COTRIGUAÇU;MT
MONTE SANTO DO TOCANTINS;TO
PLANALTO DA SERRA;MT
OLIVEIRA DE FÁTIMA;TO
SÃO PEDRO DA CIPA;MT
PUGMIL;TO
PONTAL DO ARAGUAIA;MT
SANTA RITA DO TOCANTINS;TO
QUERÊNCIA;MT
SANTA TEREZINHA DO TOCANTINS;TO
RIBEIRÃOZINHO;MT
TALISMÃ;TO
PORTO ESTRELA;MT
TUPIRAMA;TO
NOVA MARILÂNDIA;MT
ÁGUA DOCE DO MARANHÃO;MA
BRASILÉIA;AC
ALTO ALEGRE DO MARANHÃO;MA
CRUZEIRO DO SUL;AC
ALTO ALEGRE DO PINDARÉ;MA
MÂNCIO LIMA;AC
AMAPÁ DO MARANHÃO;MA
NOVA MARINGÁ;MT
APICUM-AÇU;MA
FEIJÓ;AC
ARAGUANÃ;MA
SANTO AFONSO;MT
BACABEIRA;MA
NOVA BANDEIRANTES;MT
BACURITUBA;MA
NOVA MONTE VERDE;MT
BELÁGUA;MA
NOVA GUARITA;MT
BELA VISTA DO MARANHÃO;MA
SANTA CARMEM;MT
BERNARDO DO MEARIM;MA
TABAPORÃ;MT
BOA VISTA DO GURUPI;MA
ALTO BOA VISTA;MT
BOM JESUS DAS SELVAS;MA
CANABRAVA DO NORTE;MT
BOM LUGAR;MA
CONFRESA;MT
BREJO DE AREIA;MA
SÃO JOSÉ DO XINGU;MT
BURITICUPU;MA
GLÓRIA D'OESTE;MT
BURITIRANA;MA
LAMBARI D'OESTE;MT
CACHOEIRA GRANDE;MA
RIO BRANCO;AC
CAMPESTRE DO MARANHÃO;MA
ALCINÓPOLIS;MS
CAPINZAL DO NORTE;MA
NOVA ALVORADA DO SUL;MS
CENTRAL DO MARANHÃO;MA
SENA MADUREIRA;AC
CENTRO DO GUILHERME;MA
TARAUACÁ;AC
CENTRO NOVO DO MARANHÃO;MA
XAPURI;AC
CIDELÂNDIA;MA
PLÁCIDO DE CASTRO;AC
CONCEIÇÃO DO LAGO-AÇU;MA
SENADOR GUIOMARD;AC
DAVINÓPOLIS;MA
MANOEL URBANO;AC
FEIRA NOVA DO MARANHÃO;MA
ASSIS BRASIL;AC
FERNANDO FALCÃO;MA
NOVO HORIZONTE DO SUL;MS
FORMOSA DA SERRA NEGRA;MA
JAPORÃ;MS
GOVERNADOR EDISON LOBÃO;MA
LAGUNA CARAPÃ;MS
GOVERNADOR LUIZ ROCHA;MA
ANGICO;TO
GOVERNADOR NEWTON BELLO;MA
ARAGOMINAS;TO
GOVERNADOR NUNES FREIRE;MA
ARAGUANÃ;TO
IGARAPÉ DO MEIO;MA
CACHOEIRINHA;TO
ITAIPAVA DO GRAJAÚ;MA
CAMPOS LINDOS;TO
ITINGA DO MARANHÃO;MA
CARMOLÂNDIA;TO
JATOBÁ;MA
CARRASCO BONITO;TO
JENIPAPO DOS VIEIRAS;MA
DARCINÓPOLIS;TO
JUNCO DO MARANHÃO;MA
ESPERANTINA;TO
LAGOA DO MATO;MA
MAURILÂNDIA DO TOCANTINS;TO
LAGO DOS RODRIGUES;MA
PALMEIRAS DO TOCANTINS;TO
LAGOA GRANDE DO MARANHÃO;MA
MURICILÂNDIA;TO
LAJEADO NOVO;MA
PALMEIRANTE;TO
MARACAÇUMÉ;MA
PAU D'ARCO;TO
MARAJÁ DO SENA;MA
RIACHINHO;TO
MARANHÃOZINHO;MA
SANTA FÉ DO ARAGUAIA;TO
MATÕES DO NORTE;MA
SÃO BENTO DO TOCANTINS;TO
MILAGRES DO MARANHÃO;MA
SÃO MIGUEL DO TOCANTINS;TO
NOVA COLINAS;MA
NOVO AIRÃO;AM
NOVA OLINDA DO MARANHÃO;MA
ANORI;AM
OLINDA NOVA DO MARANHÃO;MA
ATALAIA DO NORTE;AM
PAULINO NEVES;MA
AUTAZES;AM
PEDRO DO ROSÁRIO;MA
BARCELOS;AM
PERITORÓ;MA
BARREIRINHA;AM
PORTO RICO DO MARANHÃO;MA
BENJAMIN CONSTANT;AM
PRESIDENTE MÉDICI;MA
BOCA DO ACRE;AM
PRESIDENTE SARNEY;MA
BORBA;AM
RAPOSA;MA
CANUTAMA;AM
